stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_id
3539,3539,Eglinton Ave East at Kennedy Station,,43.732292,-79.267117,,,,,,1,3539
9896,9896,Eglinton Ave West at Everden Rd - Cedarvale Station,,43.698565,-79.436704,,,,,,1,9896
9895,9895,Eglinton Ave West at Everden Rd - Cedarvale Station,,43.698853,-79.435955,,,,,,1,9895
4285,4285,Kipling Ave at Belfield Rd - Etobicoke North GO Station,,43.704725,-79.56316,,,,,,1,4285
13068,13068,Lawrence Ave East at East Ave - Rouge Hill GO Station,,43.780829,-79.131368,,,,,,1,13068
5415,5415,Lawrence Ave West at Weston Rd - Weston GO Station,,43.700276,-79.516006,,,,,,1,5415
5519,5519,Rouge Hill GO Station Loop,,43.780719,-79.130474,,,,,,1,5519
6530,6530,Rouge Hill GO Station Loop,,43.780905,-79.129822,,,,,,1,6530
4435,4435,Long Branch Loop - Long Branch GO Station,,43.592111,-79.5437,,,,,,1,4435
1262,1262,Main St at Danforth Ave - Danforth GO Station,,43.688037,-79.301635,,,,,,2,1262
11826,11826,Main St at Danforth Ave - Danforth GO Station,,43.687796,-79.301532,,,,,,1,11826
9149,9149,Keele St at Finch Ave West North Side - Finch West Station,,43.764093,-79.490996,,,,,,1,9149
11321,11321,Keele St at Finch Ave West - Finch West Station,,43.763952,-79.491402,,,,,,1,11321
6931,6931,Ranee Ave at Varna Dr - Yorkdale Station,,43.723727,-79.446059,,,,,,1,6931
3336,3336,Belfield Rd at Kipling Ave - Etobicoke North GO Station,,43.704617,-79.563789,,,,,,1,3336
8977,8977,Yonge St at Eglinton Ave East - Eglinton Station,,43.706334,-79.398105,,,,,,1,8977
12203,12203,Lawrence West Station,,43.716218,-79.444374,,,,,,1,12203
8122,8122,Spadina Rd at Dupont St - Dupont Station,,43.675002,-79.407221,,,,,,1,8122
9132,9132,Finch Ave West at Yonge St - Finch Station,,43.779444,-79.416584,,,,,,1,9132
7350,7350,Spadina Rd at Dupont St - Dupont Station,,43.67473,-79.406924,,,,,,1,7350
352,352,Bellamy Rd North at Eglinton Ave East North Side - Eglinton GO Station,,43.740751,-79.232066,,,,,,1,352
7982,7982,Millwood Rd at Village Station Rd,,43.701944,-79.357766,,,,,,1,7982
4733,4733,Yonge St at St Clair Ave East - St. Clair Station,,43.687897,-79.393924,,,,,,1,4733
7152,7152,Sheppard Ave East at Bayview Ave East Side - Bayview Station,,43.766665,-79.387427,,,,,,1,7152
1028,1028,Dupont St at Spadina Rd West Side - Dupont Station,,43.674888,-79.407407,,,,,,1,1028
10945,10945,Queens Quay/Ferry Docks Station,,43.641806,-79.377186,,,,,,1,10945
9037,9037,Yonge St at Crescent Rd South Side - Rosedale Station,,43.676573,-79.389457,,,,,,1,9037
8989,8989,Yonge St at Finch Ave West - Finch Station,,43.779948,-79.415773,,,,,,1,8989
5511,5511,Long Branch Loop - Long Branch GO Station,,43.591811,-79.544124,,,,,,1,5511
3212,3212,Yonge St at Bishop Ave North Side - Finch Station,,43.782039,-79.415929,,,,,,1,3212
7242,7242,Sheppard Ave East at Old Leslie St - Leslie Station,,43.771198,-79.366681,,,,,,1,7242
9065,9065,Yonge St at York Mills Rd North Side - York Mills Station,,43.744863,-79.40666,,,,,,1,9065
6859,6859,Queen St West at University Ave - Osgoode Station,,43.65097,-79.386257,,,,,,1,6859
3665,3665,Glencairn Station,,43.709467,-79.441148,,,,,,1,3665
7275,7275,Sheppard Ave West at Dufferin St - Sheppard West Station,,43.750543,-79.462607,,,,,,1,7275
4286,4286,Kipling Ave at Belfield Rd - Etobicoke North GO Station,,43.705019,-79.563774,,,,,,1,4286
3234,3234,Yonge St at King St East - King Station,,43.64905,-79.377753,,,,,,1,3234
8778,8778,Weston Rd at Wilby Cres - Weston GO Station,,43.698344,-79.511454,,,,,,1,8778
6115,6115,St Clair Ave East at Linden Ave - Scarborough GO Station,,43.717955,-79.255615,,,,,,1,6115
3666,3666,Glencairn Station,,43.709595,-79.441316,,,,,,1,3666
9043,9043,Yonge St at Shaftesbury Ave North Side - Summerhill Station,,43.68239,-79.391664,,,,,,1,9043
